Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Predicted_Ra
0.8055555555555556,0.1,300.0,0.4422176666666662
0.8055555555555556,0.1,289.47368421052636,0.4422176666666662
0.8055555555555556,0.1,268.42105263157896,0.44669899999999957
0.8055555555555556,0.1,257.89473684210526,0.44669899999999957
0.8055555555555556,0.1,205.26315789473685,0.44727733333333297
0.8055555555555556,0.1,278.94736842105266,0.4475176666666662
0.8055555555555556,0.1,215.78947368421052,0.449037333333333
0.8055555555555556,0.1,247.3684210526316,0.45070899999999964
0.8055555555555556,0.1,236.84210526315792,0.45378899999999966
0.8055555555555556,0.1,226.31578947368422,0.45576899999999965
