Depth_of_Cut,Feed_Rate,Cutting_Speed,Material,Tool,Predicted_Ra
0.2,0.2,133.33,41Cr4,Tool1,1.5038
0.2,0.2,166.67,20MnCr5,Tool1,1.883
0.2,0.2,166.67,EN AW-6082,Tool1,1.8827
0.2,0.2,166.67,41Cr4,Tool1,1.5012
0.2,0.2,200.0,20MnCr5,Tool1,1.8658
0.2,0.2,200.0,EN AW-6082,Tool1,1.8657
0.2,0.2,200.0,41Cr4,Tool1,1.4995
0.2,0.2,233.33,20MnCr5,Tool1,1.8584
0.2,0.2,233.33,EN AW-6082,Tool1,1.8591
0.2,0.2,233.33,41Cr4,Tool1,1.4861
0.2,0.2,266.67,20MnCr5,Tool1,1.8562
0.2,0.2,266.67,EN AW-6082,Tool1,1.857
0.2,0.2,266.67,41Cr4,Tool1,1.4653
0.2,0.2,300.0,20MnCr5,Tool1,1.849
0.2,0.2,300.0,EN AW-6082,Tool1,1.8502
0.2,0.2,300.0,41Cr4,Tool1,1.3772
0.2,0.2,333.33,20MnCr5,Tool1,1.849
0.2,0.2,333.33,EN AW-6082,Tool1,1.8502
0.2,0.2,333.33,41Cr4,Tool1,1.3772
0.2,0.2,366.67,20MnCr5,Tool1,1.849
0.2,0.2,366.67,EN AW-6082,Tool1,1.8502
0.2,0.2,366.67,41Cr4,Tool1,1.3772
0.2,0.2,400.0,20MnCr5,Tool1,1.849
0.2,0.2,400.0,EN AW-6082,Tool1,1.8502
0.2,0.2,400.0,41Cr4,Tool1,1.3772
0.2,0.25,100.0,20MnCr5,Tool1,2.7426
0.2,0.25,100.0,EN AW-6082,Tool1,2.7419
0.2,0.25,100.0,41Cr4,Tool1,2.43
0.2,0.25,133.33,20MnCr5,Tool1,2.7468
0.2,0.25,133.33,EN AW-6082,Tool1,2.7464
0.2,0.25,133.33,41Cr4,Tool1,2.3952
0.2,0.25,166.67,20MnCr5,Tool1,2.7496
0.2,0.25,166.67,EN AW-6082,Tool1,2.7492
0.2,0.25,166.67,41Cr4,Tool1,2.3683
0.2,0.25,200.0,20MnCr5,Tool1,2.7519
0.2,0.25,200.0,EN AW-6082,Tool1,2.7516
0.2,0.25,200.0,41Cr4,Tool1,2.3737
0.2,0.25,233.33,20MnCr5,Tool1,2.7486
0.2,0.25,233.33,EN AW-6082,Tool1,2.7476
0.2,0.25,233.33,41Cr4,Tool1,2.3706
0.2,0.25,266.67,20MnCr5,Tool1,2.748
0.2,0.25,266.67,EN AW-6082,Tool1,2.747
0.2,0.25,266.67,41Cr4,Tool1,2.3693
0.2,0.25,300.0,20MnCr5,Tool1,2.7482
0.2,0.25,300.0,EN AW-6082,Tool1,2.7475
0.2,0.25,300.0,41Cr4,Tool1,2.3698
0.2,0.25,333.33,20MnCr5,Tool1,2.7482
0.2,0.25,333.33,EN AW-6082,Tool1,2.7475
0.2,0.25,333.33,41Cr4,Tool1,2.3698
0.2,0.25,366.67,20MnCr5,Tool1,2.7482
0.2,0.25,366.67,EN AW-6082,Tool1,2.7475
0.2,0.25,366.67,41Cr4,Tool1,2.3698
0.2,0.25,400.0,20MnCr5,Tool1,2.7482
0.2,0.25,400.0,EN AW-6082,Tool1,2.7475
0.2,0.25,400.0,41Cr4,Tool1,2.3698
0.4,0.05,100.0,20MnCr5,Tool1,1.3539
0.4,0.05,100.0,EN AW-6082,Tool1,1.2792
0.4,0.05,100.0,41Cr4,Tool1,1.2262
0.4,0.05,133.33,20MnCr5,Tool1,0.9609
0.4,0.05,133.33,EN AW-6082,Tool1,0.9339
0.4,0.05,133.33,41Cr4,Tool1,0.8306
0.4,0.05,166.67,20MnCr5,Tool1,0.8261
0.4,0.05,166.67,EN AW-6082,Tool1,0.8105
0.4,0.05,166.67,41Cr4,Tool1,0.7318
0.4,0.05,200.0,20MnCr5,Tool1,0.5984
0.4,0.05,200.0,EN AW-6082,Tool1,0.593
0.4,0.05,200.0,41Cr4,Tool1,0.5261
0.4,0.05,233.33,20MnCr5,Tool1,0.5923
0.4,0.05,233.33,EN AW-6082,Tool1,0.5869
0.4,0.05,233.33,41Cr4,Tool1,0.5192
0.4,0.05,266.67,20MnCr5,Tool1,0.5899
0.4,0.05,266.67,EN AW-6082,Tool1,0.5847
