Depth_of_Cut,Feed_Rate,Cutting_Speed,Material,Tool,Predicted_Ra
0.8,0.05,400.0,EN AW-6082,Tool1,0.5146
0.8,0.05,400.0,41Cr4,Tool1,0.459
0.8,0.1,100.0,20MnCr5,Tool1,1.0393
0.8,0.1,100.0,EN AW-6082,Tool1,1.0008
0.8,0.1,100.0,41Cr4,Tool1,0.9587
0.8,0.1,133.33,20MnCr5,Tool1,0.8544
0.8,0.1,133.33,EN AW-6082,Tool1,0.8308
0.8,0.1,133.33,41Cr4,Tool1,0.7383
0.8,0.1,166.67,20MnCr5,Tool1,0.7312
0.8,0.1,166.67,EN AW-6082,Tool1,0.7185
0.8,0.1,166.67,41Cr4,Tool1,0.6444
0.8,0.1,200.0,20MnCr5,Tool1,0.5229
0.8,0.1,200.0,EN AW-6082,Tool1,0.5217
0.8,0.1,200.0,41Cr4,Tool1,0.4675
0.8,0.1,233.33,20MnCr5,Tool1,0.5226
0.8,0.1,233.33,EN AW-6082,Tool1,0.5213
0.8,0.1,233.33,41Cr4,Tool1,0.4669
0.8,0.1,266.67,20MnCr5,Tool1,0.5196
0.8,0.1,266.67,EN AW-6082,Tool1,0.5184
0.8,0.1,266.67,41Cr4,Tool1,0.4662
0.8,0.1,300.0,20MnCr5,Tool1,0.5158
0.8,0.1,300.0,EN AW-6082,Tool1,0.5146
0.8,0.1,300.0,41Cr4,Tool1,0.459
0.8,0.1,333.33,20MnCr5,Tool1,0.5158
0.8,0.1,333.33,EN AW-6082,Tool1,0.5146
0.8,0.1,333.33,41Cr4,Tool1,0.459
0.8,0.1,366.67,20MnCr5,Tool1,0.5158
0.8,0.1,366.67,EN AW-6082,Tool1,0.5146
0.8,0.1,366.67,41Cr4,Tool1,0.459
0.8,0.1,400.0,20MnCr5,Tool1,0.5158
0.8,0.1,400.0,EN AW-6082,Tool1,0.5146
0.8,0.1,400.0,41Cr4,Tool1,0.459
0.8,0.15,100.0,20MnCr5,Tool1,1.1706
0.8,0.15,100.0,EN AW-6082,Tool1,1.1515
0.8,0.15,100.0,41Cr4,Tool1,0.9999
0.8,0.15,133.33,20MnCr5,Tool1,1.0093
0.8,0.15,133.33,EN AW-6082,Tool1,1.0108
0.8,0.15,133.33,41Cr4,Tool1,0.8935
0.8,0.15,166.67,20MnCr5,Tool1,0.9904
0.8,0.15,166.67,EN AW-6082,Tool1,0.9911
0.8,0.15,166.67,41Cr4,Tool1,0.8642
0.8,0.15,200.0,20MnCr5,Tool1,0.9833
0.8,0.15,200.0,EN AW-6082,Tool1,0.9829
0.8,0.15,200.0,41Cr4,Tool1,0.8101
0.8,0.15,233.33,20MnCr5,Tool1,0.9807
0.8,0.15,233.33,EN AW-6082,Tool1,0.9802
0.8,0.15,233.33,41Cr4,Tool1,0.8037
0.8,0.15,266.67,20MnCr5,Tool1,0.9801
0.8,0.15,266.67,EN AW-6082,Tool1,0.9796
0.8,0.15,266.67,41Cr4,Tool1,0.7769
0.8,0.15,300.0,20MnCr5,Tool1,0.981
0.8,0.15,300.0,EN AW-6082,Tool1,0.9805
0.8,0.15,300.0,41Cr4,Tool1,0.7983
0.8,0.15,333.33,20MnCr5,Tool1,0.981
0.8,0.15,333.33,EN AW-6082,Tool1,0.9805
0.8,0.15,333.33,41Cr4,Tool1,0.7983
0.8,0.15,366.67,20MnCr5,Tool1,0.981
0.8,0.15,366.67,EN AW-6082,Tool1,0.9805
0.8,0.15,366.67,41Cr4,Tool1,0.7983
0.8,0.15,400.0,20MnCr5,Tool1,0.981
0.8,0.15,400.0,EN AW-6082,Tool1,0.9805
0.8,0.15,400.0,41Cr4,Tool1,0.7983
0.8,0.2,100.0,20MnCr5,Tool1,1.9156
0.8,0.2,100.0,EN AW-6082,Tool1,1.9083
0.8,0.2,100.0,41Cr4,Tool1,1.5345
0.8,0.2,133.33,20MnCr5,Tool1,1.832
0.8,0.2,133.33,EN AW-6082,Tool1,1.8326
0.8,0.2,133.33,41Cr4,Tool1,1.5067
0.8,0.2,166.67,20MnCr5,Tool1,1.8048
0.8,0.2,166.67,EN AW-6082,Tool1,1.8051
0.8,0.2,166.67,41Cr4,Tool1,1.5049
0.8,0.2,200.0,20MnCr5,Tool1,1.7899
0.8,0.2,200.0,EN AW-6082,Tool1,1.7905
0.8,0.2,200.0,41Cr4,Tool1,1.5037
0.8,0.2,233.33,20MnCr5,Tool1,1.7839
0.8,0.2,233.33,EN AW-6082,Tool1,1.7848
0.8,0.2,233.33,41Cr4,Tool1,1.4957
0.8,0.2,266.67,20MnCr5,Tool1,1.7814
0.8,0.2,266.67,EN AW-6082,Tool1,1.7825
0.8,0.2,266.67,41Cr4,Tool1,1.4807
0.8,0.2,300.0,20MnCr5,Tool1,1.7767
0.8,0.2,300.0,EN AW-6082,Tool1,1.778
0.8,0.2,300.0,41Cr4,Tool1,1.4081
0.8,0.2,333.33,20MnCr5,Tool1,1.7767
0.8,0.2,333.33,EN AW-6082,Tool1,1.778
0.8,0.2,333.33,41Cr4,Tool1,1.4081
0.8,0.2,366.67,20MnCr5,Tool1,1.7767
0.8,0.2,366.67,EN AW-6082,Tool1,1.778
0.8,0.2,366.67,41Cr4,Tool1,1.4081
0.8,0.2,400.0,20MnCr5,Tool1,1.7767
0.8,0.2,400.0,EN AW-6082,Tool1,1.778
0.8,0.2,400.0,41Cr4,Tool1,1.4081
0.8,0.25,100.0,20MnCr5,Tool1,2.723
0.8,0.25,100.0,EN AW-6082,Tool1,2.724
0.8,0.25,100.0,41Cr4,Tool1,2.4314
0.8,0.25,133.33,20MnCr5,Tool1,2.7234
0.8,0.25,133.33,EN AW-6082,Tool1,2.7244
0.8,0.25,133.33,41Cr4,Tool1,2.3966
0.8,0.25,166.67,20MnCr5,Tool1,2.7267
0.8,0.25,166.67,EN AW-6082,Tool1,2.7277
0.8,0.25,166.67,41Cr4,Tool1,2.3683
0.8,0.25,200.0,20MnCr5,Tool1,2.7268
0.8,0.25,200.0,EN AW-6082,Tool1,2.7277
0.8,0.25,200.0,41Cr4,Tool1,2.3734
0.8,0.25,233.33,20MnCr5,Tool1,2.7227
0.8,0.25,233.33,EN AW-6082,Tool1,2.7236
0.8,0.25,233.33,41Cr4,Tool1,2.3711
0.8,0.25,266.67,20MnCr5,Tool1,2.7185
0.8,0.25,266.67,EN AW-6082,Tool1,2.7193
0.8,0.25,266.67,41Cr4,Tool1,2.3699
0.8,0.25,300.0,20MnCr5,Tool1,2.7175
0.8,0.25,300.0,EN AW-6082,Tool1,2.7186
0.8,0.25,300.0,41Cr4,Tool1,2.3706
0.8,0.25,333.33,20MnCr5,Tool1,2.7175
0.8,0.25,333.33,EN AW-6082,Tool1,2.7186
0.8,0.25,333.33,41Cr4,Tool1,2.3706
0.8,0.25,366.67,20MnCr5,Tool1,2.7175
0.8,0.25,366.67,EN AW-6082,Tool1,2.7186
0.8,0.25,366.67,41Cr4,Tool1,2.3706
0.8,0.25,400.0,20MnCr5,Tool1,2.7175
0.8,0.25,400.0,EN AW-6082,Tool1,2.7186
0.8,0.25,400.0,41Cr4,Tool1,2.3706
1.0,0.05,100.0,20MnCr5,Tool1,0.9212
1.0,0.05,100.0,EN AW-6082,Tool1,0.8857
1.0,0.05,100.0,41Cr4,Tool1,0.861
1.0,0.05,133.33,20MnCr5,Tool1,0.8063
1.0,0.05,133.33,EN AW-6082,Tool1,0.7857
1.0,0.05,133.33,41Cr4,Tool1,0.7093
1.0,0.05,166.67,20MnCr5,Tool1,0.7093
1.0,0.05,166.67,EN AW-6082,Tool1,0.6963
1.0,0.05,166.67,41Cr4,Tool1,0.6315
1.0,0.05,200.0,20MnCr5,Tool1,0.5247
1.0,0.05,200.0,EN AW-6082,Tool1,0.5228
1.0,0.05,200.0,41Cr4,Tool1,0.4785
1.0,0.05,233.33,20MnCr5,Tool1,0.5242
1.0,0.05,233.33,EN AW-6082,Tool1,0.5221
1.0,0.05,233.33,41Cr4,Tool1,0.4774
1.0,0.05,266.67,20MnCr5,Tool1,0.521
1.0,0.05,266.67,EN AW-6082,Tool1,0.519
1.0,0.05,266.67,41Cr4,Tool1,0.4763
1.0,0.05,300.0,20MnCr5,Tool1,0.5171
1.0,0.05,300.0,EN AW-6082,Tool1,0.5151
1.0,0.05,300.0,41Cr4,Tool1,0.4682
1.0,0.05,333.33,20MnCr5,Tool1,0.5171
1.0,0.05,333.33,EN AW-6082,Tool1,0.5151
1.0,0.05,333.33,41Cr4,Tool1,0.4682
1.0,0.05,366.67,20MnCr5,Tool1,0.5171
1.0,0.05,366.67,EN AW-6082,Tool1,0.5151
1.0,0.05,366.67,41Cr4,Tool1,0.4682
1.0,0.05,400.0,20MnCr5,Tool1,0.5171
1.0,0.05,400.0,EN AW-6082,Tool1,0.5151
1.0,0.05,400.0,41Cr4,Tool1,0.4682
1.0,0.1,100.0,20MnCr5,Tool1,0.9212
1.0,0.1,100.0,EN AW-6082,Tool1,0.8857
1.0,0.1,100.0,41Cr4,Tool1,0.861
1.0,0.1,133.33,20MnCr5,Tool1,0.8063
1.0,0.1,133.33,EN AW-6082,Tool1,0.7857
1.0,0.1,133.33,41Cr4,Tool1,0.7093
1.0,0.1,166.67,20MnCr5,Tool1,0.7093
1.0,0.1,166.67,EN AW-6082,Tool1,0.6963
1.0,0.1,166.67,41Cr4,Tool1,0.6315
1.0,0.1,200.0,20MnCr5,Tool1,0.5247
1.0,0.1,200.0,EN AW-6082,Tool1,0.5228
1.0,0.1,200.0,41Cr4,Tool1,0.4785
1.0,0.1,233.33,20MnCr5,Tool1,0.5242
1.0,0.1,233.33,EN AW-6082,Tool1,0.5221
1.0,0.1,233.33,41Cr4,Tool1,0.4774
1.0,0.1,266.67,20MnCr5,Tool1,0.521
1.0,0.1,266.67,EN AW-6082,Tool1,0.519
1.0,0.1,266.67,41Cr4,Tool1,0.4763
1.0,0.1,300.0,20MnCr5,Tool1,0.5171
1.0,0.1,300.0,EN AW-6082,Tool1,0.5151
1.0,0.1,300.0,41Cr4,Tool1,0.4682
1.0,0.1,333.33,20MnCr5,Tool1,0.5171
1.0,0.1,333.33,EN AW-6082,Tool1,0.5151
1.0,0.1,333.33,41Cr4,Tool1,0.4682
1.0,0.1,366.67,20MnCr5,Tool1,0.5171
1.0,0.1,366.67,EN AW-6082,Tool1,0.5151
1.0,0.1,366.67,41Cr4,Tool1,0.4682
1.0,0.1,400.0,20MnCr5,Tool1,0.5171
1.0,0.1,400.0,EN AW-6082,Tool1,0.5151
1.0,0.1,400.0,41Cr4,Tool1,0.4682
1.0,0.15,100.0,20MnCr5,Tool1,1.1612
1.0,0.15,100.0,EN AW-6082,Tool1,1.1461
1.0,0.15,100.0,41Cr4,Tool1,0.9958
1.0,0.15,133.33,20MnCr5,Tool1,1.0193
1.0,0.15,133.33,EN AW-6082,Tool1,1.022
1.0,0.15,133.33,41Cr4,Tool1,0.8947
1.0,0.15,166.67,20MnCr5,Tool1,1.0031
1.0,0.15,166.67,EN AW-6082,Tool1,1.0047
1.0,0.15,166.67,41Cr4,Tool1,0.8658
1.0,0.15,200.0,20MnCr5,Tool1,0.9989
1.0,0.15,200.0,EN AW-6082,Tool1,0.9989
1.0,0.15,200.0,41Cr4,Tool1,0.8131
1.0,0.15,233.33,20MnCr5,Tool1,0.9968
1.0,0.15,233.33,EN AW-6082,Tool1,0.9968
1.0,0.15,233.33,41Cr4,Tool1,0.8086
1.0,0.15,266.67,20MnCr5,Tool1,0.9974
1.0,0.15,266.67,EN AW-6082,Tool1,0.9974
1.0,0.15,266.67,41Cr4,Tool1,0.7822
1.0,0.15,300.0,20MnCr5,Tool1,0.9983
1.0,0.15,300.0,EN AW-6082,Tool1,0.9983
1.0,0.15,300.0,41Cr4,Tool1,0.8035
1.0,0.15,333.33,20MnCr5,Tool1,0.9983
1.0,0.15,333.33,EN AW-6082,Tool1,0.9983
1.0,0.15,333.33,41Cr4,Tool1,0.8035
1.0,0.15,366.67,20MnCr5,Tool1,0.9983
1.0,0.15,366.67,EN AW-6082,Tool1,0.9983
1.0,0.15,366.67,41Cr4,Tool1,0.8035
1.0,0.15,400.0,20MnCr5,Tool1,0.9983
1.0,0.15,400.0,EN AW-6082,Tool1,0.9983
1.0,0.15,400.0,41Cr4,Tool1,0.8035
1.0,0.2,100.0,20MnCr5,Tool1,1.9293
1.0,0.2,100.0,EN AW-6082,Tool1,1.9215
1.0,0.2,100.0,41Cr4,Tool1,1.533
1.0,0.2,133.33,20MnCr5,Tool1,1.8525
1.0,0.2,133.33,EN AW-6082,Tool1,1.8524
1.0,0.2,133.33,41Cr4,Tool1,1.5055
1.0,0.2,166.67,20MnCr5,Tool1,1.8283
1.0,0.2,166.67,EN AW-6082,Tool1,1.8277
1.0,0.2,166.67,41Cr4,Tool1,1.5038
1.0,0.2,200.0,20MnCr5,Tool1,1.8157
1.0,0.2,200.0,EN AW-6082,Tool1,1.8154
1.0,0.2,200.0,41Cr4,Tool1,1.5025
1.0,0.2,233.33,20MnCr5,Tool1,1.8094
1.0,0.2,233.33,EN AW-6082,Tool1,1.8091
1.0,0.2,233.33,41Cr4,Tool1,1.4946
1.0,0.2,266.67,20MnCr5,Tool1,1.8048
1.0,0.2,266.67,EN AW-6082,Tool1,1.8046
1.0,0.2,266.67,41Cr4,Tool1,1.4806
1.0,0.2,300.0,20MnCr5,Tool1,1.8002
1.0,0.2,300.0,EN AW-6082,Tool1,1.8
1.0,0.2,300.0,41Cr4,Tool1,1.4173
1.0,0.2,333.33,20MnCr5,Tool1,1.8002
1.0,0.2,333.33,EN AW-6082,Tool1,1.8
1.0,0.2,333.33,41Cr4,Tool1,1.4173
1.0,0.2,366.67,20MnCr5,Tool1,1.8002
1.0,0.2,366.67,EN AW-6082,Tool1,1.8
1.0,0.2,366.67,41Cr4,Tool1,1.4173
1.0,0.2,400.0,20MnCr5,Tool1,1.8002
1.0,0.2,400.0,EN AW-6082,Tool1,1.8
1.0,0.2,400.0,41Cr4,Tool1,1.4173
1.0,0.25,100.0,20MnCr5,Tool1,2.7362
1.0,0.25,100.0,EN AW-6082,Tool1,2.7366
1.0,0.25,100.0,41Cr4,Tool1,2.4259
1.0,0.25,133.33,20MnCr5,Tool1,2.7366
1.0,0.25,133.33,EN AW-6082,Tool1,2.737
1.0,0.25,133.33,41Cr4,Tool1,2.3906
1.0,0.25,166.67,20MnCr5,Tool1,2.7409
1.0,0.25,166.67,EN AW-6082,Tool1,2.7416
1.0,0.25,166.67,41Cr4,Tool1,2.3683
1.0,0.25,200.0,20MnCr5,Tool1,2.741
1.0,0.25,200.0,EN AW-6082,Tool1,2.7416
1.0,0.25,200.0,41Cr4,Tool1,2.3735
1.0,0.25,233.33,20MnCr5,Tool1,2.7377
1.0,0.25,233.33,EN AW-6082,Tool1,2.7383
1.0,0.25,233.33,41Cr4,Tool1,2.3711
1.0,0.25,266.67,20MnCr5,Tool1,2.7323
1.0,0.25,266.67,EN AW-6082,Tool1,2.7328
1.0,0.25,266.67,41Cr4,Tool1,2.3699
1.0,0.25,300.0,20MnCr5,Tool1,2.7319
1.0,0.25,300.0,EN AW-6082,Tool1,2.7326
1.0,0.25,300.0,41Cr4,Tool1,2.3705
1.0,0.25,333.33,20MnCr5,Tool1,2.7319
1.0,0.25,333.33,EN AW-6082,Tool1,2.7326
1.0,0.25,333.33,41Cr4,Tool1,2.3705
1.0,0.25,366.67,20MnCr5,Tool1,2.7319
1.0,0.25,366.67,EN AW-6082,Tool1,2.7326
1.0,0.25,366.67,41Cr4,Tool1,2.3705
1.0,0.25,400.0,20MnCr5,Tool1,2.7319
1.0,0.25,400.0,EN AW-6082,Tool1,2.7326
1.0,0.25,400.0,41Cr4,Tool1,2.3705
