Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
K0025,K0025/Scope_2025_06_26_09_59_28,1.0,1.25,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_10_13_13,0.993,1.5,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_14_52_14,2.572,0.5,0.1,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_14_55_03,2.445,0.5,0.15,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_14_57_22,2.331,0.5,0.2,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_14_59_35,2.693,0.5,0.25,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_01_55,3.889,0.5,0.3,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_04_21,1.237,0.5,0.1,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_06_42,1.102,0.5,0.15,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_09_01,1.928,0.5,0.2,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_11_23,2.804,0.5,0.25,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_13_46,3.855,0.5,0.3,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_16_39,0.483,0.5,0.1,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_19_08,1.079,0.5,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_21_30,1.857,0.5,0.2,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_23_52,2.825,0.5,0.25,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_26_10,3.83,0.5,0.3,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_28_44,0.529,0.5,0.1,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_31_02,1.088,0.5,0.15,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_33_21,1.837,0.5,0.2,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_35_43,2.77,0.5,0.25,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_38_06,3.856,0.5,0.3,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_50_13,0.585,0.5,0.1,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_52_23,1.118,0.5,0.15,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_54_29,1.838,0.5,0.2,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_56_39,2.79,0.5,0.25,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_15_58_50,3.842,0.5,0.3,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_01_19,2.536,0.5,0.1,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_03_35,2.245,0.5,0.15,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_05_52,2.249,0.5,0.2,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_08_10,2.872,0.5,0.25,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_10_25,3.763,0.5,0.3,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_12_45,1.136,0.5,0.1,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_15_03,1.135,0.5,0.15,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_17_22,1.837,0.5,0.2,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_19_37,2.784,0.5,0.25,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_21_56,3.863,0.5,0.3,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_24_21,0.603,0.5,0.1,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_31_43,1.133,0.5,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_34_08,1.842,0.5,0.2,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_36_27,2.791,0.5,0.25,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_38_49,3.854,0.5,0.3,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_48_23,0.604,0.5,0.1,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_50_46,1.136,0.5,0.15,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_52_57,1.866,0.5,0.2,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_55_06,2.756,0.5,0.25,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_57_20,3.829,0.5,0.3,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_16_59_36,0.581,0.5,0.1,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_01_59,1.121,0.5,0.15,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_04_14,1.848,0.5,0.2,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_06_26,2.743,0.5,0.25,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_08_40,3.831,0.5,0.3,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_11_04,2.872,0.5,0.1,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_14_17,2.329,0.5,0.15,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_16_37,1.721,0.5,0.2,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_18_54,2.817,0.5,0.25,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_21_13,3.904,0.5,0.3,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_23_40,0.731,0.5,0.1,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_26_01,1.103,0.5,0.15,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_28_21,1.845,0.5,0.2,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_30_39,2.769,0.5,0.25,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_34_43,3.888,0.5,0.3,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_43_20,0.554,0.5,0.1,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_45_32,1.073,0.5,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_47_38,1.738,0.5,0.2,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_49_45,2.738,0.5,0.25,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_51_54,3.754,0.5,0.3,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_54_07,0.595,0.5,0.1,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_56_16,1.088,0.5,0.15,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_17_58_27,1.744,0.5,0.2,250.0,20MnCr5,DNMG150608
